cont_id,associated_id,type
"919671_None",919671,Player
"919671_None",919671,Player
"1823726_None",1823726,Player
"1823726_None",1823726,Player
"1401535_None",1401535,Player
"1401535_None",1401535,Player
"1401535_None",1401535,Player
"934196_None",934196,Player
"934196_None",934196,Player
"934196_None",934196,Player
"934196_None",934196,Player
"934196_None",934196,Player
"934196_None",934196,Player
"934196_None",934196,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"867180_None",867180,Player
"1140803_None",1140803,Player
"1140803_None",1140803,Player
"1095727_None",1095727,Player
"1095727_None",1095727,Player
"782542_None",782542,Player
"782542_None",782542,Player
"782542_None",782542,Player
"1014377_None",1014377,Player
"1014377_None",1014377,Player
"1014377_None",1014377,Player
"1525293_None",1525293,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"970592_None",970592,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"141967_None",141967,Player
"970755_None",970755,Player
"970755_None",970755,Player
"970755_None",970755,Player
"970755_None",970755,Player
"970755_None",970755,Player
"1118615_None",1118615,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"2265493_None",2265493,Player
"1525321_None",1525321,Player
"1525321_None",1525321,Player
"1525321_None",1525321,Player
"1525321_None",1525321,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1140863_None",1140863,Player
"1923105_None",1923105,Player
"1923105_None",1923105,Player
"1923105_None",1923105,Player
"1923105_None",1923105,Player
"1923105_None",1923105,Player
"2161830_None",2161830,Player
"2161830_None",2161830,Player
"2161830_None",2161830,Player
"2161837_None",2161837,Player
"2161838_None",2161838,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"2161833_None",2161833,Player
"1103074_None",1103074,Player
"1103074_None",1103074,Player
"1103074_None",1103074,Player
"1103074_None",1103074,Player
"1387222_None",1387222,Player
"1387222_None",1387222,Player
"1387222_None",1387222,Player
"1525311_None",1525311,Player
"1525311_None",1525311,Player
"1525311_None",1525311,Player
"1525311_None",1525311,Player
"1525311_None",1525311,Player
"1525311_None",1525311,Player
"2161839_None",2161839,Player
"2161841_None",2161841,Player
"2161841_None",2161841,Player
"2161841_None",2161841,Player
"2161841_None",2161841,Player
"2161827_None",2161827,Player
"2161840_None",2161840,Player
"2161840_None",2161840,Player
"2161840_None",2161840,Player
"2161840_None",2161840,Player
"2161842_None",2161842,Player
"2161847_None",2161847,Player
"2161847_None",2161847,Player
"2161831_None",2161831,Player
"2161829_None",2161829,Player
"2161829_None",2161829,Player
"2161829_None",2161829,Player
"2161829_None",2161829,Player
"2265485_None",2265485,Player
"2265485_None",2265485,Player
"2265485_None",2265485,Player
"2265485_None",2265485,Player
"2265476_None",2265476,Player
"2265476_None",2265476,Player
"2265476_None",2265476,Player
"2265476_None",2265476,Player
"2265476_None",2265476,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1525302_None",1525302,Player
"1464128_None",1464128,Player
"1464128_None",1464128,Player
"1464128_None",1464128,Player
"2161828_None",2161828,Player
"1014438_None",1014438,Player
"1014438_None",1014438,Player
"1014438_None",1014438,Player
"1004432_None",1004432,Player
"1004432_None",1004432,Player
"1004432_None",1004432,Player
"1004432_None",1004432,Player
"2161824_None",2161824,Player
"2265465_None",2265465,Player
"2265465_None",2265465,Player
"2265465_None",2265465,Player
"1140956_None",1140956,Player
"1140956_None",1140956,Player
"1140956_None",1140956,Player
"2161843_None",2161843,Player
"2161835_None",2161835,Player
"2161835_None",2161835,Player
"2161835_None",2161835,Player
"2161835_None",2161835,Player
"2161835_None",2161835,Player
"2161845_None",2161845,Player
"2161845_None",2161845,Player
"1874639_None",1874639,Player
"1874639_None",1874639,Player
"1874639_None",1874639,Player
"1029681_None",1029681,Player
"1029681_None",1029681,Player
"1029681_None",1029681,Player
