tm_id,tm_name,sofascore_id,sofascore_name,match_score
343949,Zakaria Hamadi,826571.0,Zakaria Hamadi,1.0
1055339,Redouan Ait Lamkadem,,,0.59
713000,Yassine El Khalej,2033440.0,Yassine Senhaji,0.75
235602,Abderahmane El Houasli,,,0.68
1332783,Zoubir Housni,,,0.67
1175868,Souhayl Zamrat,2290450.0,Souhail Amri,0.77
1267107,Ayoub Achab,,,0.72
727209,Banfa Sylla,,,0.54
667999,Anas Nanah,,,0.74
1245251,Zakaria Kassary,919690.0,Zakaria Nassik,0.76
1134255,Fouad Zahouani,,,0.67
904578,Hassan Aqboub,,,0.62
943495,Tahar Ahmed El Khalej,,,0.56
1066475,Youssef Kajai,1000440.0,Youssef Aoujdal,0.79
1267109,Youness Dahmani,1937706.0,Youness El Amali,0.77
276255,Yacine Bammou,,,0.67
869457,Walid Hasbi,1210560.0,Walid Nassi,0.82
1430198,Salim Ghazzani,,,0.64
593478,Hamza Bousqal,1140855.0,Hamza Afsal,0.75
1074351,Hossam Essadak,,,0.62
537209,Hamza Regragui,,,0.64
1180814,Khalid Kasbi,1140961.0,Khalid Baba,0.78
1443774,Zakaria Aiada,1461782.0,Zakaria Ami,0.83
848947,Danny,,,0.44
667966,Mohamed Amine Essahel,970592.0,Mohamed Aymen Sadil,0.75
245346,Brahim El Bahraoui,1525303.0,Ibrahim El Omari,0.76
64490,Ilias Haddad,,,0.59
708663,Tiago Lopes,,,0.5
1443785,Ahmed Aboulfath,1009188.0,Amine Aboulfath,0.87
667992,Reda Asmama,,,0.7
239291,Abdelkabir El Ouadi,,,0.7
1134252,Adam Chakir,,,0.64
1246533,Taha Majni,,,0.64
1028119,Youness Akharraz,,,0.73
1055313,Zineddine Brighet,,,0.69
1180811,Adam Baallal,,,0.67
926103,Yassine Zraa,359282.0,Yassine Jbira,0.8
1091486,Nasreddine Moustaghfir,,,0.65
238952,Soulaiman El Amrani,1008871.0,Soulaiman El Amrani,1.0
1371032,Akram Haimoud,2046419.0,Akram Haimoud,1.0
913644,Zakary Lamgahez,1634303.0,Zakary Lamgahez,1.0
926806,Abdallah Boukhanfer,1140799.0,Abdallah Boukhanfer,1.0
352125,Nassim Ouammou,988630.0,Nassim Ouammou,1.0
1322435,Younes El Amali,1937706.0,Youness El Amali,0.97
789533,Walid Jarmouni,1063163.0,Walid Jarmouni,1.0
353473,Jalal Tachtach,1013197.0,Jalal Tachtach,1.0
709481,Ayoub Yousfi,997190.0,Ayoub Yousfi Amkadmi,0.75
908118,Badreddine Octobre,1140843.0,Badreddine Octobre,1.0
1036559,Badreddine Abyir,1463237.0,Badreddine Abyir,1.0
918020,Fahd Bendahmane,1182631.0,Fahd Bendahmane,1.0
292309,Hicham El Majhed,1089964.0,Hicham El Mejhed,0.94
1110587,Abdelali Ait Brayim,1525286.0,Abdellah Ait Brayim,0.89
1174677,Zakaria Ami,1461782.0,Zakaria Ami,1.0
642295,Rodrigue Kossi Fiogbé,972819.0,Rodrigue Kossi,0.8
1184401,Assane Bèye,1592863.0,Assane Beye,1.0
467571,Fred Dembi,,,0.7
1327935,Hamza Moumadi,1947611.0,Hamza Moumadi,1.0
1337458,Baba Bello Ilou,2003720.0,Baba Ilou,0.75
920577,Aziz Kaidi,1140842.0,Aziz Kaidi,1.0
1194144,Mehdi Akoumi,1597137.0,Mehdi Akoumi,1.0
1153106,Ilyass Motik,1606005.0,Ilyass Motik,1.0
1233132,Ismail Hrila,1655428.0,Ismail Hrila,1.0
1270327,Hamza El Belghyty,1866207.0,Hamza El Belghyty,1.0
1338486,Ayman Tarrazi,1990600.0,Ayman Tarrazi,1.0
182912,Ange-Freddy Plumain,372340.0,Ange-Freddy Plumain,1.0
975918,Mohamed Bakhkhach,1182630.0,Mohamed Bakhkhach,1.0
491280,Euclides Cabral,975173.0,Euclides Cabral,1.0
1134278,Mohamed Amine Katiba,1597138.0,Mohamed Amine Katiba,1.0
593395,Abderrahmane Kernane,,,0.58
1263250,Anas Mkhair,,,0.73
823069,Imad Askar,,,0.7
1258563,Oussama Ichou,1140943.0,Oussama Mahrous,0.79
518828,Saad El Morsli,,,0.67
1258564,Anas Soufeir,,,0.72
1065548,Aboubacar Sylla,,,0.55
244941,Hamza Semmoumy,,,0.74
1097559,Anass Eddaou,,,0.69
846437,Salaheddine Errahouli,1140934.0,Salaheddine Benyachou,0.81
858910,Yassine Kordani,,,0.73
908108,Ayman Hadry,,,0.7
1235904,Yasser Ezzine,,,0.6
312825,Fred Ngoma,,,0.64
1233335,Moriba Traoré,,,0.5
836467,Abderrahmane Qassaq,,,0.62
712125,Anouar Tarkhatt,,,0.59
203755,Sofian El Moudane,,,0.67
182885,Mohamed Chemlal,2127598.0,Mohamed Hilali,0.83
364239,Moussa Koné,2050924.0,Moussa Kote,0.91
1235902,Ahmed El Houari,1155867.0,Mohammed El Ouardi,0.79
848420,Walid Rhailouf,1923776.0,Ahmed Rhailouf,0.79
681726,Hamza Hamiani,,,0.72
902847,Faraji Karmoune,,,0.55
860299,Charki El Bahri,,,0.61
929321,Karim L'Koucha,,,0.62
1256643,Anas Samoudi,,,0.7
650001,Marwane Elaz,,,0.67
842528,Karim El Bounagate,1140959.0,Karim El Bounagate,1.0
484572,Anass Nouader,1401580.0,Anass Nouader,1.0
234836,Youssef Anouar,884821.0,Youssef Anouar,1.0
239127,Larbi Naji,919761.0,Larbi Naji,1.0
1340455,Yassine Senhaji,2033440.0,Yassine Senhaji,1.0
1340454,Soufiane Taher,2045637.0,Soufiane Taher,1.0
864078,Yacoub El Id,1103646.0,Yacoub El Id,1.0
868656,Mouad Goulouss,1461306.0,Mouad Goulouss,1.0
857713,Mustapha Sahd,1140850.0,Mustapha Sahd,1.0
933020,Imad Khannouss,1404064.0,Imad Khannouss,1.0
1309589,Ayoub Lourhraz,1924082.0,Ayoub Lourhraz,1.0
1123784,Zouhir Eddib,1919278.0,Zouhir Eddib,1.0
805351,Achraf Hmaidou,1020148.0,Achraf Hmaidou,1.0
1102874,Adnane Berdad,1919284.0,Adnane Berdad,1.0
1416427,Mohamed Ferhane,1008634.0,Mohamed Ferni,0.86
1105269,Abdellatif Benkassou,1525540.0,Abdellatif Benkassou,1.0
440323,Ismael Benktib,939864.0,Ismael Benktib,1.0
1125067,Younes Sakhi,1632047.0,Younes Sakhi,1.0
1263910,Mohamed Zinaf,1919295.0,Mohamed Zinaf,1.0
1459802,Marius Mbou,1954173.0,Exauce Marius Mbou,0.76
518849,Zakaria Nassik,919690.0,Zakaria Nassik,1.0
703639,Driss El Abdi,1016040.0,Driss El Abdi,1.0
